x,y
2.408,-4.171
2.417,-4.171
2.426,-4.162
2.435,-4.162
2.444,-4.153
2.453,-4.153
2.462,-4.153
2.471,-4.144
2.48,-4.144
2.489,-4.144
2.498,-4.144
2.507,-4.135
2.516,-4.135
2.525,-4.126
2.534,-4.126
2.543,-4.117
2.552,-4.117
2.561,-4.108
2.57,-4.099
2.579,-4.099
2.588,-4.09
2.597,-4.081
2.606,-4.072
2.606,-4.063
2.615,-4.054
2.624,-4.045
2.633,-4.036
2.642,-4.027
2.651,-4.018
2.66,-4.009
2.669,-4.0
2.678,-3.991
2.687,-3.982
2.696,-3.973
2.705,-3.964
2.705,-3.955
2.714,-3.946
2.723,-3.937
2.732,-3.928
2.732,-3.919
2.741,-3.91
2.741,-3.901
2.75,-3.892
2.759,-3.883
2.768,-3.874
2.777,-3.865
2.786,-3.856
2.786,-3.847
2.795,-3.838
2.804,-3.829
2.813,-3.82
2.813,-3.811
2.822,-3.802
2.822,-3.793
2.831,-3.784
2.831,-3.775
2.84,-3.766
2.84,-3.757
2.849,-3.748
2.849,-3.739
2.849,-3.73
2.858,-3.721
2.858,-3.712
2.867,-3.703
2.867,-3.694
2.867,-3.685
2.876,-3.676
2.876,-3.667
2.885,-3.658
2.885,-3.649
2.885,-3.64
2.885,-3.631
2.894,-3.622
2.894,-3.613
2.894,-3.604
2.903,-3.595
2.903,-3.586
2.903,-3.577
2.912,-3.568
2.912,-3.559
2.912,-3.55
2.921,-3.541
2.921,-3.532
2.921,-3.523
2.921,-3.514
2.93,-3.505
2.93,-3.496
2.93,-3.487
2.939,-3.478
2.939,-3.469
2.948,-3.46
2.948,-3.451
2.957,-3.442
2.957,-3.433
2.957,-3.424
2.966,-3.415
2.966,-3.406
2.975,-3.397
2.975,-3.388
2.984,-3.379
2.984,-3.37
2.984,-3.361
2.984,-3.352
2.984,-3.343
2.993,-3.334
2.993,-3.325
2.993,-3.316
3.002,-3.307
3.002,-3.298
3.011,-3.289
3.011,-3.28
3.011,-3.271
3.02,-3.262
3.02,-3.253
3.029,-3.244
3.029,-3.235
3.038,-3.226
3.038,-3.217
3.047,-3.208
3.056,-3.199
3.056,-3.19
3.056,-3.181
3.065,-3.172
3.065,-3.163
3.074,-3.154
3.074,-3.145
3.074,-3.136
3.083,-3.127
3.083,-3.118
3.083,-3.109
3.083,-3.1
3.092,-3.091
3.092,-3.082
3.092,-3.073
3.092,-3.064
3.092,-3.055
3.101,-3.046
3.101,-3.037
3.101,-3.028
3.11,-3.019
3.11,-3.01
3.11,-3.001
3.11,-2.992
3.119,-2.983
3.119,-2.974
3.119,-2.965
3.119,-2.956
3.128,-2.947
3.128,-2.938
3.128,-2.929
3.128,-2.92
3.128,-2.911
3.137,-2.902
3.137,-2.893
3.137,-2.884
3.137,-2.875
3.146,-2.866
3.146,-2.857
3.146,-2.848
3.146,-2.839
3.155,-2.83
3.155,-2.821
3.155,-2.812
3.164,-2.803
3.164,-2.794
3.164,-2.785
3.164,-2.776
3.164,-2.767
3.173,-2.758
3.173,-2.749
3.173,-2.74
3.173,-2.731
3.173,-2.722
3.182,-2.713
3.182,-2.704
3.182,-2.695
3.182,-2.686
3.182,-2.677
3.191,-2.668
3.191,-2.659
3.191,-2.65
3.191,-2.641
3.191,-2.632
3.191,-2.623
3.2,-2.614
3.2,-2.605
3.2,-2.596
3.2,-2.587
3.2,-2.578
3.209,-2.569
3.209,-2.56
3.209,-2.551
3.209,-2.542
3.218,-2.533
3.218,-2.524
3.218,-2.515
3.218,-2.506
3.218,-2.497
3.227,-2.488
3.227,-2.479
3.227,-2.47
3.227,-2.461
3.227,-2.452
3.236,-2.443
3.236,-2.434
3.236,-2.425
3.236,-2.416
3.236,-2.407
3.245,-2.398
3.245,-2.389
3.245,-2.38
3.245,-2.371
3.254,-2.362
3.254,-2.353
3.263,-2.344
3.263,-2.335
3.272,-2.326
3.272,-2.317
3.272,-2.308
3.281,-2.299
3.281,-2.29
3.29,-2.281
3.29,-2.272
